# BEAST v1.6.1, Build r3651
# Generated Sun Nov 08 18:54:00 EST 2015 [seed=1447026808856]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(Felis/Lynx/Puma)	tmrca(Lion/Leopard)	tmrca(untitled3)	yule.birthRate	kappa	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	speciation
10800	-8128.173977987697	-25.962809908388273	-8102.211168079309	27.592690469410368	6.477146452161052	4.1276628075814665	7.4014634034973845	0.060364061637801156	1.849094848348796	0.48553314337070713	0.025785518136430718	0.009619245740269209	0.02576298008007314	0.0077113545305944374	0.3560163293829131	-8102.211168079309	-22.836371743792768
11000	-8128.7733932900255	-25.792123478722594	-8102.981269811303	20.244486521089264	5.455887668038772	3.5417615615158655	6.609890079227216	0.11614778548964347	1.849094848348796	0.48553314337070713	0.028332485630560653	0.05210442611866084	0.027840068522400764	0.0474480861975551	-0.03865799702747547	-8102.981269811303	-21.9457297578004
11200	-8126.738431995922	-26.27703207198491	-8100.461399923937	17.2179220967989	4.449511876141727	2.7575423552280585	4.806059674249753	0.1438752238260271	1.849094848348796	0.48553314337070713	0.03638997905445455	0.01578665086084036	0.03618640073982868	0.010518569739443156	-0.6009284548450524	-8100.461399923937	-20.938336375904736
11400	-8130.570196450755	-28.32505634500979	-8102.245140105745	15.854582103642795	4.110065945143922	2.2462371351082924	4.755519557112578	0.2040028144703722	1.849094848348796	0.48553314337070713	0.037821852962119304	0.02929939543983045	0.037672977607672825	0.021465998444289515	-0.11224226257889876	-8102.245140105745	-21.854148225752763
11600	-8129.362159091886	-25.83650228131309	-8103.525656810572	17.14305729167095	4.4405617448188	3.284779854734529	5.1419926230986155	0.06357475969268596	1.849094848348796	0.48553314337070713	0.03831037718910497	0.05724019098251699	0.038105788002901854	0.03310572821270801	0.18824050958502286	-8103.525656810572	-20.69455547386021
11800	-8127.505592682659	-26.46850302867542	-8101.0370896539835	25.736116105000733	6.221242784019169	4.282040957332094	7.601815320132493	0.0817954847809007	1.849094848348796	0.48553314337070713	0.0264937240637736	0.10315373693096139	0.025716156960829472	0.08393923625371037	-0.435408016354931	-8101.0370896539835	-22.882773340240405
12000	-8127.407459237284	-25.3520524550565	-8102.055406782227	20.95995242622769	6.884492771334312	3.8294401463711143	7.146947983919254	0.08764691063873604	1.849094848348796	0.48553314337070713	0.0264937240637736	0.10315373693096139	0.025997231135778755	0.10094252958597828	-0.3616093504450816	-8102.055406782227	-22.11827800715557
12200	-8125.482250852272	-24.639883597527394	-8100.842367254744	16.626249128850674	5.611531349823299	3.175224504823546	5.92597442598609	0.08499673368802149	1.849094848348796	0.48553314337070713	0.0314932962400544	0.10315373693096139	0.03224016365865618	0.10234050010839069	0.12630707758611326	-8100.842367254744	-20.656166075136618
12400	-8126.154285804808	-24.9253470146369	-8101.228938790171	15.867965940996864	4.942162339373031	3.474964214322103	5.738777100539265	0.10701206375879092	1.849094848348796	0.48553314337070713	0.03334486793930504	0.09475596228088451	0.032311587746412955	0.12015431528755341	0.3585491616150203	-8101.228938790171	-20.39629401785666
12600	-8127.919700224554	-26.19983857279029	-8101.7198616517635	17.19208798738808	4.665063864051771	3.009667809575482	5.180133162097799	0.05457011052704996	1.849094848348796	0.48553314337070713	0.03411017424270455	0.08909785774542532	0.033036637520264305	0.08971962360411857	0.20659185801779903	-8101.7198616517635	-21.13463452765346
12800	-8127.767821472961	-27.125972672148855	-8100.641848800812	26.614429727159454	7.235296506945313	4.8613574558701815	8.352991950113944	0.07982596562025553	1.849094848348796	0.48553314337070713	0.021707700281680266	0.062406999638576544	0.021493438691881844	0.037419252067620645	0.41751539020966166	-8100.641848800812	-23.44616783126017
13000	-8128.47394973946	-27.163329491180285	-8101.31062024828	24.431664657411435	6.32778002974978	4.0902178668789375	7.404617869328312	0.1234519072329029	1.849094848348796	0.48553314337070713	0.027180117148491105	0.03077149856952222	0.027200195266909814	0.02175822930831386	0.20819080402522763	-8101.31062024828	-23.926276278472525
13200	-8127.258222462982	-27.061171286693835	-8100.197051176288	19.801786843816732	4.336491086075863	2.720517795910528	4.966029824353237	0.1234519072329029	1.849094848348796	0.48553314337070713	0.03862303761074316	0.1444582375092491	0.03688502079131638	0.10112457646030552	-0.027492844738950188	-8100.197051176288	-21.13504968056101
