# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 17:26:21 EST 2016 [seed=1451773564380]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
3100	-354401.5858699202	-1034.321661690983	-353367.2642082292	5829797.491217184	2462940.528440897	1292790.833381427	3090168.292174467	1783391.951908663	2.5644925604581453E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.5961981325386251	0.9256149034796312	0.9712201687220309	1.1031841785779233	1.504627269266266E-7	-112462.40981698011	-116799.54909902044	-124105.30529222864	-1019.5615529386421
3200	-351867.29414669337	-1024.5118182978777	-350842.78232839546	4488452.06413247	2160137.6336172596	1070219.3459321794	2558153.8815688435	1476356.823570762	3.0645592469736606E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.5961981325386251	0.9256149034796312	0.9712201687220309	1.1031841785779233	1.8175417485738697E-7	-111674.91298140325	-115957.02927718486	-123210.84006980735	-1009.3848156604089
3300	-350124.9737694971	-1029.6971926222627	-349095.27657687484	4945573.97589283	2380134.6906506573	1179214.7649375056	2828687.1919110413	1626714.9078252632	3.0645592469736606E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.5961981325386251	0.9256149034796312	0.9712201687220309	1.1031841785779233	1.649545442611757E-7	-111076.36971336478	-115401.32017344401	-122617.58669006602	-1014.66707813953
3400	-348197.9092627616	-1040.4663601059485	-347157.44290265563	6208396.457683262	2998270.276357966	1485464.0760637126	3563314.6148980586	2051560.6186322046	2.7327689794521213E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.5961981325386251	0.9256149034796312	0.9712201687220309	1.1031841785779233	1.309468450100524E-7	-110505.28847735429	-114739.07726146208	-121913.07716383923	-1025.7814815975557
3500	-347324.8793709561	-1027.2433427058083	-346297.6360282503	4971787.6780289775	2401064.963715237	1198053.957544193	2853561.9166791565	1634221.6568029223	2.7327689794521213E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.5961981325386251	0.9256149034796312	0.9712201687220309	1.1031841785779233	1.635166224611393E-7	-110228.67517970833	-114472.76945988051	-121596.19138866143	-1012.3365631465334
3600	-346943.1557157268	-1031.0561697012931	-345912.0995460255	5207116.100290343	2514713.9902324267	1254761.1554116271	2997602.9357611677	1711573.8747627307	3.391357193856124E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.5961981325386251	0.9256149034796312	0.9712201687220309	1.1031841785779233	1.56126714489788E-7	-110099.51210098038	-114350.14320896953	-121462.44423607556	-1015.9796757769262
3700	-345139.76357570366	-1026.0339615370133	-344113.72961416666	4958237.471300684	2394521.0546158645	1194788.7580128224	2854329.9042906347	1629767.7173502396	2.550923568270747E7	2.5001869300098676	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6472607938130251	0.9256149034796312	0.9712201687220309	1.1031841785779233	1.6396349174698645E-7	-109559.51817435733	-113789.58802510727	-120764.6234147021	-1011.1933154628515
3800	-344618.9989156621	-1016.6281626248656	-343602.3707530373	4112431.813507499	2000610.0332390217	997726.9239911862	2384777.963714375	1361662.5508030916	2.550923568270747E7	2.633295601456634	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6472607938130251	0.9256149034796312	0.9712201687220309	1.1031841785779233	1.9949830507355991E-7	-109382.60526566565	-113622.7957501968	-120596.9697371748	-1001.5415955746379
3900	-344288.860891163	-994.6308143671805	-343294.2300767958	2628634.6430714442	1347139.1211833127	616418.1907807374	1605824.042106904	916894.7778729585	1.1072605122831509E7	2.633295601456634	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6472607938130251	0.9256149034796312	0.9712201687220309	1.1031841785779233	2.9627104169743206E-7	-109304.4552070106	-113513.49019970623	-120476.28467007894	-979.9837403289109
4000	-343981.9864655138	-978.2963182941738	-343003.69014721963	2015578.4654053007	1024456.5817814405	475430.92575502524	1223821.5566715654	699333.0862388504	1.1072605122831509E7	2.633295601456634	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6472607938130251	0.9256149034796312	0.9712201687220309	1.1031841785779233	3.8844061050842067E-7	-109221.93554667913	-113420.51547903095	-120361.23912150953	-963.3786495487207
4100	-343791.1075505538	-978.7162873446032	-342812.3912632092	2015578.4654053007	1014786.5288647148	475430.92575502524	1265217.732113774	689823.6380344804	9637184.73741424	2.633295601456634	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6472607938130251	0.9256149034796312	0.9712201687220309	1.1031841785779233	3.8844061050842067E-7	-109173.90948089189	-113355.43372237167	-120283.04805994565	-963.9374636236836
4200	-343767.855929546	-1002.4913846222997	-342765.3645449237	3118057.7203328623	1565472.674439645	733429.2500765526	1968167.957953391	1064164.7526930163	1.678942836749067E7	2.633295601456634	2.6610401269722583	3.15558450776288	0.6385099996140824	0.6386817469804289	0.6472607938130251	0.9256149034796312	0.9712201687220309	1.1031841785779233	2.508683606039331E-7	-109160.30839705859	-113341.54424089953	-120263.51190696559	-987.5942152389621
