# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 16:36:19 EST 2016 [seed=1451770534910]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
4600	-338337.0384520689	-918.1690310430625	-337418.86942102585	806033.9537595407	321189.5563279894	234667.06178063038	388928.2916952027	198072.1659362019	3362517.769690849	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	9.738930152485939E-7	-107039.42304935936	-111431.33380449262	-118948.11256717386	-904.0400387255942
4700	-338261.1472900343	-908.3077654635133	-337352.83952457074	654565.3216155095	260832.1203551838	190568.79682369932	315841.4991718675	160850.75621738465	4012851.204971665	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	1.199255157120479E-6	-107017.90185527645	-111414.77845560934	-118920.159213685	-893.7940148338805
4800	-338118.50347135327	-914.4918798049351	-337204.01159154833	752496.4648129677	302850.0297018543	216975.66997610466	452538.9285024875	186762.4901092153	3565670.881587579	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	1.0328685316180056E-6	-106967.94055552645	-111369.39365720922	-118866.67737881266	-900.2454903534865
4900	-338105.3327174231	-915.3176231581608	-337190.01509426493	765495.4967037904	308081.6253017213	219623.7075452791	458574.3437053734	190107.5699987381	3565670.881587579	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	1.015329184829758E-6	-106975.81908364092	-111356.78761663359	-118857.40839399042	-901.0883436132708
5000	-338080.6417621744	-915.8118458155715	-337164.8299163588	775369.5620908043	312008.24002941477	222422.89326027708	464419.0440180663	198310.3337398975	3565670.881587579	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	1.0025512962386307E-6	-106974.59982376966	-111345.52841842327	-118844.70167416584	-901.5952184385968
5100	-337978.92851615895	-901.0663787685893	-337077.86213739036	583542.8809015929	248012.4642196813	141974.52732227632	356679.3918894152	152304.71307068542	3006016.3389233267	2.4977769972659254	2.562240552991353	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	1.3053849624218653E-6	-106945.59350235069	-111328.90644561243	-118803.36218942724	-886.7568018958117
5200	-337885.2534560764	-913.5639408482336	-336971.68951522815	729906.3136169604	310218.6136003493	177584.3854100393	446141.23245733796	190505.57431555743	3587570.035195239	2.4977769972659254	2.9262546305549706	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	1.0436244863844572E-6	-106939.25252506779	-111247.46336737799	-118784.97362278239	-899.1676169566806
5300	-337879.6052970183	-921.3384011525413	-336958.2668958658	838237.1519101912	356260.4710806033	203941.00814416373	512356.37926129	226090.88090801597	3670490.0154607585	2.4977769972659254	2.9262546305549706	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	9.087501071998377E-7	-106933.4415614353	-111246.7749192309	-118778.05041519961	-907.0574736763583
5400	-337879.8950609267	-925.3954455559183	-336954.49961537076	904956.61950737	384617.01540967723	220173.68818417747	553137.3739552523	244086.57958157724	4412504.765931501	2.4977769972659254	2.9262546305549706	2.013975561133141	0.667539668103506	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	8.417509582635513E-7	-106926.38791845988	-111249.06924607702	-118779.04245083385	-911.006910114201
5500	-337854.5824012507	-938.5011827312462	-336916.0812185195	1126659.7215553098	478843.3944190539	274113.4998917711	687129.3916685976	303884.75188619597	4405584.224366964	2.4977769972659254	2.9262546305549706	2.013975561133141	0.78122717866113	0.7239312961458432	0.677948288666807	0.9567860625533958	0.9908092476222148	1.0524144686431662	6.761119502929502E-7	-106908.0815632035	-111236.99712112593	-118771.00253419009	-924.3331233155628
