# BEAST v1.6.1, Build r3651
# Generated Tue Jan 05 02:06:50 EST 2016 [seed=1451977571559]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CPZ)	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SMM)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
35000	-335851.91755437886	-1095.2417283261955	-334756.67582605267	2.1999351787092593E7	1.0420251356952153E7	8201099.696730118	4099963.963515872	5611689.697117616	9.370365550264238E7	2.8731793578065132	3.2731514126868304	3.587304791531937	0.6965862037677559	0.651508570604473	0.7365536631462716	0.917067484642439	0.995810644522298	1.0871218708352632	4.467201452594055E-8	-106466.8667965219	-110738.04913582261	-117551.75989370818	-1079.8975201006583
36000	-335868.09910186264	-1117.4161264096695	-334750.682975453	3.3257369590850934E7	1.5439224354126465E7	1.2030469601786444E7	6073475.356865467	8312149.426996615	1.456596721557291E8	2.8731793578065132	3.3532822143044823	3.587304791531937	0.6965862037677559	0.651508570604473	0.7365536631462716	0.917067484642439	0.995810644522298	1.0871218708352632	3.015197571917473E-8	-106458.05002695322	-110740.24172126802	-117552.39122723175	-1101.9962372855766
37000	-335846.44789460534	-1088.912642103163	-334757.5352525022	1.970662919173449E7	9342863.068310406	7279005.406795422	3673913.3109729216	5031479.151338623	8.184369065732595E7	2.8731793578065132	3.3532822143044823	3.587304791531937	0.6965862037677559	0.651508570604473	0.7365536631462716	0.967979465536575	0.9889148054594192	1.043105729004006	5.0192230799558555E-8	-106464.71172236242	-110739.87497852424	-117552.94855161551	-1073.5601144611637
38000	-335846.470405297	-1084.8241598707168	-334761.64624542627	1.846449639604187E7	8716251.871506711	6869065.387740184	3429344.1350168334	4696410.524088698	7.311243778711233E7	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.6984565117151367	0.651508570604473	0.7483926085810748	0.9464925271740827	1.0104017438219115	1.043105729004006	5.245241205471122E-8	-106460.41320395735	-110739.70267242903	-117561.53036903989	-1069.5950874425746
39000	-335849.35784959793	-1082.7702941472505	-334766.5875554507	1.7588369733247306E7	8201001.5700841835	6460159.706800545	3228720.3520103265	4416919.673026059	5.5892390648515284E7	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7483926085810748	0.9022114080454563	1.0025639019055093	1.0952246900490346	5.6340134883478634E-8	-106469.13718029826	-110733.55701229467	-117563.89336285775	-1067.7383626381873
40000	-335795.4564497564	-1038.0743410255336	-334757.38210873085	7930601.929003276	3689663.5622591833	2963083.199521783	1498155.034079981	1983973.5525847431	3.7188798808721006E7	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7483926085810748	0.9435305963767289	1.0025639019055093	1.053905501717762	1.266403608989636E-7	-106465.47140769506	-110731.74041188584	-117560.17028914996	-1022.6406959895761
41000	-335815.16567163315	-1056.9890765085438	-334758.1765951246	1.1493136342183553E7	5289026.596881031	4189477.3781723613	2143937.5816712948	2843784.0151079823	4.503689315329283E7	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7483926085810748	0.9435305963767289	1.0025639019055093	1.053905501717762	8.584340892163598E-8	-106465.12915209579	-110734.54757103503	-117558.49987199377	-1041.7523947084164
42000	-335839.0730391418	-1076.376767016988	-334762.69627212477	1.6102534754944824E7	7649788.489625582	5904334.554387133	3023486.421383054	4008345.935491809	6.258013088882608E7	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7483926085810748	0.9465734287152057	1.0025639019055093	1.0508626693792853	6.30544254747612E-8	-106476.4963667149	-110737.29715466387	-117548.902750746	-1061.119337422439
43000	-335832.79748400557	-1078.055063734892	-334754.7424202707	1.655505346559869E7	7842778.99496974	6057162.172721508	2961575.31821001	4106309.26516294	7.128880802788979E7	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7483926085810748	0.9465734287152057	0.9973395072813394	1.0560870640034552	5.979020120579783E-8	-106469.04249307369	-110732.76995473192	-117552.92997246512	-1062.720445930501
44000	-335858.9207068988	-1101.5193796086783	-334757.4013272901	2.406579065852518E7	1.1745331666527314E7	9103018.36404716	4443134.277246171	6099911.868560219	1.178609637044213E8	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7483926085810748	0.9465734287152057	0.9973395072813394	1.0560870640034552	3.934645165794742E-8	-106469.68295766096	-110737.16444334052	-117550.55392628863	-1086.1000130483706
45000	-335865.59550881735	-1110.3626181264483	-334755.2328906909	2.9771712816661708E7	1.3890117456080189E7	1.0776710492559168E7	5324706.80738755	7220752.831155557	1.2895700292122233E8	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7483926085810748	0.9436193999987209	1.000293535997824	1.0560870640034552	3.3812512985071865E-8	-106467.60667840888	-110737.82001211542	-117549.80620016658	-1095.004701465523
46000	-335870.13182971656	-1109.8553015003686	-334760.2765282162	2.782894673291593E7	1.2652399802282065E7	9893942.87934974	5048123.996236209	6640429.786369557	1.588658273451983E8	2.8731793578065132	3.3532822143044823	3.4225808896572394	0.7094542209225146	0.651508570604473	0.7483926085810748	0.9330567962364519	1.0059700565924241	1.0609731471711241	3.7188882970006407E-8	-106467.01628275616	-110740.61077355189	-117552.64947190818	-1094.193720132598
