# BEAST v1.6.1, Build r3651
# Generated Sat Jan 02 16:28:17 EST 2016 [seed=1451770041623]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(CPZ)	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SMM)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	CP1.alpha	CP2.alpha	CP3.alpha	CP1.mu	CP2.mu	CP3.mu	clock.rate	CP1.treeLikelihood	CP2.treeLikelihood	CP3.treeLikelihood	coalescent
34000	-335858.77454856917	-1100.8738511634683	-334757.9006974057	2.481712547178677E7	1.1517586667148115E7	9254016.51401058	4754534.4060879415	6075046.212702127	9.955465937135644E7	2.8335069501624646	3.3002917302553043	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7135951512443481	0.931490102476211	0.9799622158323074	1.088547681691482	4.1002372708879854E-8	-106473.14954575364	-110739.41255182037	-117545.33859983171	-1085.5757676734925
35000	-335860.65233374696	-1100.553585350288	-334760.0987483967	2.5534065635786775E7	1.1442207803235805E7	9122408.638981368	4644832.05368833	6027923.519766404	1.0456463261696741E8	2.8335069501624646	3.3002917302553043	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7135951512443481	0.931490102476211	0.9799622158323074	1.088547681691482	4.023553705064386E-8	-106469.48134515145	-110745.58499063607	-117545.03241260914	-1085.2252637651993
36000	-335889.65333489765	-1129.3570009484195	-334760.29633394926	4.2564320709453136E7	1.9173830885184005E7	1.5000204557358343E7	7716147.679240475	1.0016798005851364E7	1.378021378000674E8	2.8335069501624646	3.3002917302553043	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7135951512443481	0.931490102476211	0.9909902873030816	1.0775196102207079	2.3971841972202583E-8	-106467.25247535248	-110745.56228705053	-117547.48157154622	-1114.2700187155017
37000	-335855.1536889297	-1095.8136340684018	-334759.34005486127	2.2464461397377804E7	1.030906439511662E7	8067427.938898691	4149949.7600255106	5516899.789208726	1.0663075539825778E8	2.8335069501624646	3.3002917302553043	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7135951512443481	0.931490102476211	0.9909902873030816	1.0775196102207079	4.456568998894401E-8	-106472.02366805148	-110742.95248643027	-117544.36390037954	-1080.3636344199767
38000	-335868.0000498742	-1110.700692267007	-334757.2993576072	2.8903802595488574E7	1.3558057855375025E7	1.0757361251146618E7	5459347.411007027	7262839.157274748	1.368653383582023E8	2.8335069501624646	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7135951512443481	0.931490102476211	0.9909902873030816	1.0775196102207079	3.4338243923992654E-8	-106467.97214017413	-110742.2726058591	-117547.05461157399	-1095.2687712111403
39000	-335900.2840176994	-1140.629956111803	-334759.65406158764	5.258286135834621E7	2.3398701435923453E7	1.8567785776663043E7	9348504.398326298	1.252396414429295E7	2.2004398463083518E8	2.8335069501624646	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7135951512443481	0.9280429750095787	0.9909902873030816	1.0809667376873402	1.9576390978075563E-8	-106466.33788238208	-110745.61519425444	-117547.70098495114	-1125.2845785927548
40000	-335887.0691608292	-1124.8260150526723	-334762.2431457765	3.840008630610467E7	1.7668059150013577E7	1.4017187341228444E7	7182047.640538278	9454549.420763431	1.650130657322428E8	2.8335069501624646	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7135951512443481	0.9453284778656339	0.9909902873030816	1.063681234831285	2.649322831594123E-8	-106465.71160888702	-110746.92994040805	-117549.60159648144	-1109.4661780311394
41000	-335882.65568610356	-1123.4832469261728	-334759.1724391774	3.790980783102692E7	1.736144982236805E7	1.3769493200567981E7	7057354.110544757	9289696.56614148	1.412888113492259E8	2.8061242767832937	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7135951512443481	0.9453284778656339	0.9909902873030816	1.063681234831285	2.695315540587398E-8	-106467.25543832759	-110745.07563967205	-117546.84136117778	-1108.2713731787026
42000	-335870.09299351246	-1108.4131748789723	-334761.6798186335	2.828627933952828E7	1.3099297727065472E7	1.0477137357391289E7	5363531.536301741	7067128.480430876	1.211954329251888E8	2.8061242767832937	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7139935760178122	0.9533480603896369	0.9829707047790786	1.063681234831285	3.51880632348549E-8	-106467.27887502825	-110741.88789869909	-117552.51304490617	-1093.0883629119012
43000	-335880.6654289553	-1120.8949306461568	-334759.7704983091	3.51293002168121E7	1.6269600545397634E7	1.3019190165156929E7	6658634.3415699685	8782901.330895728	1.1664849480167991E8	2.8061242767832937	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7139935760178122	0.9533480603896369	0.9829707047790786	1.063681234831285	2.833037770502349E-8	-106468.51738050114	-110744.34979554563	-117546.90332226234	-1105.8249134691337
44000	-335887.1732505618	-1129.5211924078017	-334757.652058154	4.158560232633845E7	1.903503119328438E7	1.5236203995593766E7	7556480.075218785	1.022848698165333E7	1.4446885046995065E8	2.8061242767832937	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7333771889556887	0.91510647824478	0.9913335910903245	1.093559930664896	2.4186600023090246E-8	-106469.5044523071	-110741.6108630748	-117546.53674277206	-1114.3952541574445
45000	-335934.54451412975	-1170.6221392510809	-334763.92237487866	8.313957458491012E7	3.98670584309349E7	3.1914280914580356E7	1.5821177623560317E7	2.205719049147814E7	3.416498954270857E8	2.8061242767832937	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.7333771889556887	0.91510647824478	1.007238448955712	1.0776550727995085	1.128774106618415E-8	-106469.0944379434	-110750.08091106797	-117544.74702586728	-1155.3967978070573
46000	-335933.0158685052	-1177.807605014908	-334755.2082634903	9.886020921331449E7	4.517237676797409E7	3.616583071226601E7	1.8412251760429695E7	2.41987968092388E7	4.197611057563639E8	2.8061242767832937	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.721576768655339	0.9233842649743569	0.9888252171974043	1.0877905178282392	9.980385898842865E-9	-106463.86034782264	-110742.87021344593	-117548.47770222173	-1162.4993367555144
47000	-335883.4124693478	-1129.0513300301184	-334754.3611393177	4.1348700343809105E7	1.8597411983454626E7	1.4667379681022817E7	7578468.977595402	9962430.92229898	1.2885002418477443E8	2.8061242767832937	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.721576768655339	0.9233842649743569	0.9846318321873215	1.091983902838322	2.4636005223415284E-8	-106461.60807784335	-110740.13390148661	-117552.6191599877	-1114.0214147437373
48000	-335916.2521307167	-1156.3278438465327	-334759.92428687017	6.590764140120708E7	3.0330019065764308E7	2.3914800320489805E7	1.2358161506513664E7	1.6244959454896217E7	2.177583423736181E8	2.8061242767832937	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.721576768655339	0.9233842649743569	0.9846318321873215	1.091983902838322	1.4970712504424213E-8	-106467.36403055962	-110743.91083165199	-117548.6494246586	-1141.2708068521104
49000	-335887.46740779624	-1130.06903811487	-334757.3983696814	3.984892664331137E7	1.960467499174846E7	1.515861193130492E7	7834466.201543732	1.0297352897455864E7	1.744313662163935E8	2.779131783006376	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.721576768655339	0.9233842649743569	0.9846318321873215	1.091983902838322	2.3621652063623688E-8	-106470.16098121184	-110740.73331958117	-117546.50406888837	-1114.7880763548812
50000	-335938.2044023263	-1182.7594244700324	-334755.4449778563	1.082048173827312E8	5.0636674670784645E7	3.991358364213341E7	2.005884808396162E7	2.705291955240585E7	3.8290815819938684E8	2.779131783006376	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.721576768655339	0.9179994173313291	0.9822391535490644	1.099761429119607	9.224695114469313E-9	-106468.91592191502	-110737.9374443429	-117548.5916115984	-1167.6315382255932
51000	-335947.06702426216	-1177.8833986122333	-334769.18362564995	9.916627622367121E7	4.686025941310404E7	3.6744291731684424E7	1.822752522592454E7	2.4907410583439432E7	3.822413445778712E8	2.779131783006376	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.721576768655339	0.9285326433521601	0.9822391535490644	1.0892282030987759	1.021056558731786E-8	-106477.6338819946	-110740.00893832136	-117551.54080533398	-1162.6558179834703
52000	-335950.88076534064	-1181.289932696679	-334769.59083264397	1.0518370354725085E8	4.992946259499356E7	3.836024047890665E7	1.9039977512454882E7	2.6539143388022155E7	3.9350592535441935E8	2.779131783006376	3.2790069014900727	3.538747051107535	0.6928792373274614	0.6689804936703959	0.721576768655339	0.9285326433521601	1.008566523455417	1.0629008331924232	9.644166589016592E-9	-106464.83268881313	-110751.52367282915	-117553.2344710017	-1166.0903208655488
