# BEAST v1.6.1, Build r3651
# Generated Wed Jan 06 01:39:04 EST 2016 [seed=1452062334603]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(HIV-1)	tmrca(HIV-2)	tmrca(SIV-cpz)	tmrca(SIV-smm)	constant.popSize	kappa	alpha	clock.rate	treeLikelihood	coalescent
52000	-336296.7651212033	-1478.2864492936847	-334818.47867190966	2.3260006212359463E10	8.245006857455135E9	4.2452201993533187E9	1.0412642254215157E10	5.754062721999384E9	9.576204912845863E10	3.1855925768024376	0.6917958933086248	4.306880645217594E-11	-334818.47867190966	-1467.622810697094
53000	-336312.4017826341	-1493.7490574625556	-334818.65272517153	3.0130653745040836E10	1.0933131345843363E10	5.629838710597597E9	1.3806691595943895E10	7.629807465484011E9	1.1771534088062299E11	3.1855925768024376	0.6917958933086248	3.2795478724160915E-11	-334818.65272517153	-1483.151251797395
54000	-336309.4155036333	-1487.3821438230743	-334822.03335981024	2.6267754565616196E10	9.68160173067843E9	5.00987611585504E9	1.231520089084404E10	6.805449946047116E9	1.0911361617668199E11	3.1855925768024376	0.6917958933086248	3.7165065243804875E-11	-334822.03335981024	-1476.735264339887
55000	-336314.15906266135	-1490.6902983440546	-334823.4687643173	2.7250741406321297E10	9.892681997448704E9	5.06172129146606E9	1.2567709324511932E10	6.945189270577473E9	8.022803437988815E10	3.289227389838271	0.6917958933086248	3.601470734969833E-11	-334823.4687643173	-1480.3467531958956
56000	-336404.40881782805	-1576.664054282597	-334827.74476354546	1.3197794007942627E11	4.752008435972688E10	2.4313880081573418E10	6.036951641923916E10	3.3356737245653297E10	4.6729576251232794E11	3.289227389838271	0.6917958933086248	7.640842554520939E-12	-334827.74476354546	-1566.1072888563504
57000	-336420.3645876502	-1598.4845013487964	-334821.8800863014	1.9665382834699158E11	6.99735691431411E10	3.6425942457382835E10	8.889644907678699E10	4.7602410242406136E10	6.560327052491775E11	3.1739857221065986	0.6917958933086248	5.086930348379397E-12	-334821.8800863014	-1588.034523393526
58000	-336473.2374527365	-1647.0874141840952	-334826.15003855235	4.432249590835808E11	1.5808845708323984E11	8.202021257067844E10	2.0840260774026614E11	1.0718293309434782E11	2.431255889377815E12	3.1739857221065986	0.6917958933086248	2.2645218657183623E-12	-334826.15003855235	-1636.1359852652522
59000	-336481.5636311983	-1655.9064561946295	-334825.65717500367	5.561825416228643E11	1.9515648609138245E11	9.819244676391304E10	2.4485926638926294E11	1.3243795952213242E11	2.411898798187442E12	3.1739857221065986	0.6917958933086248	1.850426356048272E-12	-334825.65717500367	-1645.16476652319
60000	-336499.1778672404	-1675.0358101692768	-334824.1420570711	7.58820958007238E11	2.758583208146437E11	1.4040360001851294E11	3.4840485007511487E11	1.8844199237525476E11	2.7382418218424424E12	3.1739857221065986	0.6917958933086248	1.2908159524734207E-12	-334824.1420570711	-1664.5270001686251
61000	-336487.10581418325	-1659.9997548981546	-334827.1060592851	5.84627239051591E11	2.0852029545681143E11	1.0698411808501933E11	2.6546855368591904E11	1.4358658018096237E11	1.9946572753755217E12	3.1739857221065986	0.6917958933086248	1.6875657780226729E-12	-334827.1060592851	-1649.540044127014
62000	-336501.7130432275	-1670.0216434556185	-334831.6913997719	7.112371593448833E11	2.4528767570168835E11	1.2713826559908809E11	3.1547941417925037E11	1.7822278965154434E11	2.2874154738347466E12	3.1739857221065986	0.6917958933086248	1.4295465834143548E-12	-334831.6913997719	-1659.5907462354273
63000	-336483.7598828212	-1651.4232377036624	-334832.3366451175	5.1482430023880774E11	1.7810448148052588E11	9.231515856319353E10	2.2906997363538638E11	1.2940809838182892E11	1.7923127456369207E12	3.1739857221065986	0.6917958933086248	2.0002892452955954E-12	-334832.3366451175	-1640.9006576882468
64000	-336511.4098654296	-1683.051615491557	-334828.35824993806	9.105928706565934E11	3.1506420301224005E11	1.6213850400220465E11	4.023320838208678E11	2.2728722225689844E11	3.3167266068391045E12	3.203249305689023	0.6917958933086248	1.123748900039438E-12	-334828.35824993806	-1672.4794939292888
65000	-336529.6627024097	-1700.3714628155708	-334829.29123959417	1.2307395458087278E12	4.250743523720212E11	2.1874978514226767E11	5.499039330755261E11	3.066468178613682E11	5.280788672725071E12	3.2627110744264383	0.6917958933086248	8.35118289175912E-13	-334829.29123959417	-1689.6103660336562
66000	-336548.7348112943	-1715.9689409741131	-334832.7658703202	1.6996802048706785E12	5.678075601944938E11	2.922004593038962E11	7.34552874835865E11	4.0961361444342224E11	5.571822494058957E12	3.2627110744264383	0.6917958933086248	6.269034947122689E-13	-334832.7658703202	-1705.440691434838
67000	-336511.3117722801	-1683.8891436175902	-334827.4226286625	9.272764512232689E11	3.206663777633351E11	1.6501765259051935E11	4.1483582846791095E11	2.313279928301512E11	3.255928258443331E12	3.2627110744264383	0.6917958933086248	1.1095247752868629E-12	-334827.4226286625	-1673.3278152977584
